ds,yhat,yhat_lower,yhat_upper,subtopic,model,target
2022-01-02,7.93462958046566,0.0,16.96878018318734,AI Regulation,Prophet,article_count
2022-01-09,8.737716011509594,0.0,18.215495393167433,AI Regulation,Prophet,article_count
2022-01-16,11.414457276717812,2.237240463152125,20.713607375741233,AI Regulation,Prophet,article_count
2022-01-23,13.817711635953025,4.138192989804347,23.50396280160686,AI Regulation,Prophet,article_count
2022-01-30,14.59175466770642,4.872837391155748,24.060789343188922,AI Regulation,Prophet,article_count
2022-02-06,14.08240235127574,4.8553131686674815,22.317493723430676,AI Regulation,Prophet,article_count
2022-02-13,13.440481738315839,3.838267252122446,22.570476879701243,AI Regulation,Prophet,article_count
2022-02-20,13.336389121382325,3.4877924780256806,22.71605899842358,AI Regulation,Prophet,article_count
2022-02-27,13.71774304975598,4.952319104284107,23.117677522478395,AI Regulation,Prophet,article_count
2022-03-06,14.40484850821212,5.4761564141287815,23.636522497080104,AI Regulation,Prophet,article_count
2022-03-13,15.3558767622169,5.481128845398965,25.025770758458556,AI Regulation,Prophet,article_count
2022-03-20,16.275628488729875,6.374089229013808,25.27509828271334,AI Regulation,Prophet,article_count
2022-03-27,16.464606240904292,7.568019206671142,25.964729860726134,AI Regulation,Prophet,article_count
2022-04-03,15.540643672103563,6.428398935759971,24.89109403127322,AI Regulation,Prophet,article_count
2022-04-10,14.237195534907675,4.851491164872874,23.00240575576697,AI Regulation,Prophet,article_count
2022-04-17,13.990291858843703,4.745545834922857,23.577803399361002,AI Regulation,Prophet,article_count
2022-04-24,15.420022909127727,6.141486176451723,24.433129282416733,AI Regulation,Prophet,article_count
2022-05-01,17.413615837776245,8.231215794935862,26.821447914785114,AI Regulation,Prophet,article_count
2022-05-08,18.10116513473783,8.126180025314925,27.914752383213315,AI Regulation,Prophet,article_count
2022-05-15,16.826780860224794,7.629675718654796,26.424120184870596,AI Regulation,Prophet,article_count
2022-05-22,14.895837969494302,5.701100590340809,24.528838874589816,AI Regulation,Prophet,article_count
2022-05-29,14.184275385404455,4.839354814614461,23.334060149013087,AI Regulation,Prophet,article_count
2022-06-05,15.17107341616967,6.059335189648658,24.319176417894194,AI Regulation,Prophet,article_count
